"Series";"Time";"Value"
"js3-node1";"2018-08-04T20:39:00-04:00";null
"js3-node1";"2018-08-04T20:39:30-04:00";0.01
"js3-node1";"2018-08-04T20:40:00-04:00";null
"js3-node1";"2018-08-04T20:40:30-04:00";null
"js3-node1";"2018-08-04T20:41:00-04:00";null
"js3-node1";"2018-08-04T20:41:30-04:00";null
"js3-node1";"2018-08-04T20:42:00-04:00";null
"js3-node1";"2018-08-04T20:42:30-04:00";0
"js3-node1";"2018-08-04T20:43:00-04:00";null
"js3-node1";"2018-08-04T20:43:30-04:00";null
"js3-node1";"2018-08-04T20:44:00-04:00";null
"js3-node1";"2018-08-04T20:44:30-04:00";null
"js3-node1";"2018-08-04T20:45:00-04:00";null
"js3-node1";"2018-08-04T20:45:30-04:00";0
"js3-node1";"2018-08-04T20:46:00-04:00";null
"js3-node1";"2018-08-04T20:46:30-04:00";null
"js3-node1";"2018-08-04T20:47:00-04:00";null
"js3-node1";"2018-08-04T20:47:30-04:00";null
"js3-node1";"2018-08-04T20:48:00-04:00";null
"js3-node1";"2018-08-04T20:48:30-04:00";0
"js3-node1";"2018-08-04T20:49:00-04:00";null
"js3-node1";"2018-08-04T20:49:30-04:00";null
"js3-node1";"2018-08-04T20:50:00-04:00";null
"js3-node1";"2018-08-04T20:50:30-04:00";null
"js3-node1";"2018-08-04T20:51:00-04:00";null
"js3-node1";"2018-08-04T20:51:30-04:00";0
"js3-node1";"2018-08-04T20:52:00-04:00";null
"js3-node1";"2018-08-04T20:52:30-04:00";null
"js3-node1";"2018-08-04T20:53:00-04:00";null
"js3-node1";"2018-08-04T20:53:30-04:00";null
"js3-node1";"2018-08-04T20:54:00-04:00";null
"js3-node1";"2018-08-04T20:54:30-04:00";0
"js3-node1";"2018-08-04T20:55:00-04:00";null
"js3-node1";"2018-08-04T20:55:30-04:00";null
"js3-node1";"2018-08-04T20:56:00-04:00";null
"js3-node1";"2018-08-04T20:56:30-04:00";null
"js3-node1";"2018-08-04T20:57:00-04:00";null
"js3-node1";"2018-08-04T20:57:30-04:00";0
"js3-node1";"2018-08-04T20:58:00-04:00";null
"js3-node1";"2018-08-04T20:58:30-04:00";null
"js3-node1";"2018-08-04T20:59:00-04:00";null
"js3-node1";"2018-08-04T20:59:30-04:00";null
"js3-node1";"2018-08-04T21:00:00-04:00";null
"js3-node1";"2018-08-04T21:00:30-04:00";0
