"Series";"Time";"Value"
"js3-node1";"2018-08-02T20:34:40-04:00";null
"js3-node1";"2018-08-02T20:35:00-04:00";null
"js3-node1";"2018-08-02T20:35:20-04:00";null
"js3-node1";"2018-08-02T20:35:40-04:00";null
"js3-node1";"2018-08-02T20:36:00-04:00";null
"js3-node1";"2018-08-02T20:36:20-04:00";null
"js3-node1";"2018-08-02T20:36:40-04:00";0
"js3-node1";"2018-08-02T20:37:00-04:00";null
"js3-node1";"2018-08-02T20:37:20-04:00";null
"js3-node1";"2018-08-02T20:37:40-04:00";null
"js3-node1";"2018-08-02T20:38:00-04:00";null
"js3-node1";"2018-08-02T20:38:20-04:00";null
"js3-node1";"2018-08-02T20:38:40-04:00";null
"js3-node1";"2018-08-02T20:39:00-04:00";null
"js3-node1";"2018-08-02T20:39:20-04:00";null
"js3-node1";"2018-08-02T20:39:40-04:00";0
"js3-node1";"2018-08-02T20:40:00-04:00";null
"js3-node1";"2018-08-02T20:40:20-04:00";null
"js3-node1";"2018-08-02T20:40:40-04:00";null
"js3-node1";"2018-08-02T20:41:00-04:00";null
"js3-node1";"2018-08-02T20:41:20-04:00";null
"js3-node1";"2018-08-02T20:41:40-04:00";null
"js3-node1";"2018-08-02T20:42:00-04:00";null
"js3-node1";"2018-08-02T20:42:20-04:00";null
"js3-node1";"2018-08-02T20:42:40-04:00";0.01
"js3-node1";"2018-08-02T20:43:00-04:00";null
"js3-node1";"2018-08-02T20:43:20-04:00";null
"js3-node1";"2018-08-02T20:43:40-04:00";null
"js3-node1";"2018-08-02T20:44:00-04:00";null
"js3-node1";"2018-08-02T20:44:20-04:00";null
"js3-node1";"2018-08-02T20:44:40-04:00";null
"js3-node1";"2018-08-02T20:45:00-04:00";null
"js3-node1";"2018-08-02T20:45:20-04:00";null
"js3-node1";"2018-08-02T20:45:40-04:00";0
"js3-node1";"2018-08-02T20:46:00-04:00";null
"js3-node1";"2018-08-02T20:46:20-04:00";null
"js3-node1";"2018-08-02T20:46:40-04:00";null
"js3-node1";"2018-08-02T20:47:00-04:00";null
"js3-node1";"2018-08-02T20:47:20-04:00";null
"js3-node1";"2018-08-02T20:47:40-04:00";null
"js3-node1";"2018-08-02T20:48:00-04:00";null
"js3-node1";"2018-08-02T20:48:20-04:00";null
"js3-node1";"2018-08-02T20:48:40-04:00";0.02
"js3-node1";"2018-08-02T20:49:00-04:00";null
"js3-node1";"2018-08-02T20:49:20-04:00";null
"js3-node1";"2018-08-02T20:49:40-04:00";null
"js3-node1";"2018-08-02T20:50:00-04:00";null
"js3-node1";"2018-08-02T20:50:20-04:00";null
"js3-node1";"2018-08-02T20:50:40-04:00";null
"js3-node1";"2018-08-02T20:51:00-04:00";null
"js3-node1";"2018-08-02T20:51:20-04:00";null
"js3-node1";"2018-08-02T20:51:40-04:00";0
"js3-node1";"2018-08-02T20:52:00-04:00";null
"js3-node1";"2018-08-02T20:52:20-04:00";null
"js3-node1";"2018-08-02T20:52:40-04:00";null
"js3-node1";"2018-08-02T20:53:00-04:00";null
"js3-node1";"2018-08-02T20:53:20-04:00";null
"js3-node1";"2018-08-02T20:53:40-04:00";null
"js3-node1";"2018-08-02T20:54:00-04:00";null
"js3-node1";"2018-08-02T20:54:20-04:00";null
"js3-node1";"2018-08-02T20:54:40-04:00";0
"js3-node1";"2018-08-02T20:55:00-04:00";null
"js3-node1";"2018-08-02T20:55:20-04:00";null
"js3-node1";"2018-08-02T20:55:40-04:00";null
"js3-node1";"2018-08-02T20:56:00-04:00";null
"js3-node1";"2018-08-02T20:56:20-04:00";null
"js3-node1";"2018-08-02T20:56:40-04:00";null
"js3-node1";"2018-08-02T20:57:00-04:00";null
"js3-node1";"2018-08-02T20:57:20-04:00";null
"js3-node1";"2018-08-02T20:57:40-04:00";0
"js3-node1";"2018-08-02T20:58:00-04:00";null
"js3-node1";"2018-08-02T20:58:20-04:00";null
"js3-node1";"2018-08-02T20:58:40-04:00";null
