"Series";"Time";"Value"
"js3-node1";"2018-08-03T08:46:00-04:00";null
"js3-node1";"2018-08-03T08:47:00-04:00";null
"js3-node1";"2018-08-03T08:48:00-04:00";0
"js3-node1";"2018-08-03T08:49:00-04:00";null
"js3-node1";"2018-08-03T08:50:00-04:00";null
"js3-node1";"2018-08-03T08:51:00-04:00";0
"js3-node1";"2018-08-03T08:52:00-04:00";null
"js3-node1";"2018-08-03T08:53:00-04:00";null
"js3-node1";"2018-08-03T08:54:00-04:00";0
"js3-node1";"2018-08-03T08:55:00-04:00";null
"js3-node1";"2018-08-03T08:56:00-04:00";null
"js3-node1";"2018-08-03T08:57:00-04:00";0
"js3-node1";"2018-08-03T08:58:00-04:00";null
"js3-node1";"2018-08-03T08:59:00-04:00";null
"js3-node1";"2018-08-03T09:00:00-04:00";0
"js3-node1";"2018-08-03T09:01:00-04:00";null
"js3-node1";"2018-08-03T09:02:00-04:00";null
"js3-node1";"2018-08-03T09:03:00-04:00";0
"js3-node1";"2018-08-03T09:04:00-04:00";null
"js3-node1";"2018-08-03T09:05:00-04:00";null
"js3-node1";"2018-08-03T09:06:00-04:00";0.01
"js3-node1";"2018-08-03T09:07:00-04:00";null
"js3-node1";"2018-08-03T09:08:00-04:00";null
"js3-node1";"2018-08-03T09:09:00-04:00";0
"js3-node1";"2018-08-03T09:10:00-04:00";null
"js3-node1";"2018-08-03T09:11:00-04:00";null
"js3-node1";"2018-08-03T09:12:00-04:00";0
"js3-node1";"2018-08-03T09:13:00-04:00";null
"js3-node1";"2018-08-03T09:14:00-04:00";null
"js3-node1";"2018-08-03T09:15:00-04:00";0
"js3-node1";"2018-08-03T09:16:00-04:00";null
"js3-node1";"2018-08-03T09:17:00-04:00";null
"js3-node1";"2018-08-03T09:18:00-04:00";0
"js3-node1";"2018-08-03T09:19:00-04:00";null
"js3-node1";"2018-08-03T09:20:00-04:00";null
"js3-node1";"2018-08-03T09:21:00-04:00";0
"js3-node1";"2018-08-03T09:22:00-04:00";null
"js3-node1";"2018-08-03T09:23:00-04:00";null
"js3-node1";"2018-08-03T09:24:00-04:00";0
"js3-node1";"2018-08-03T09:25:00-04:00";null
"js3-node1";"2018-08-03T09:26:00-04:00";null
"js3-node1";"2018-08-03T09:27:00-04:00";0
"js3-node1";"2018-08-03T09:28:00-04:00";null
"js3-node1";"2018-08-03T09:29:00-04:00";null
"js3-node1";"2018-08-03T09:30:00-04:00";0
"js3-node1";"2018-08-03T09:31:00-04:00";null
"js3-node1";"2018-08-03T09:32:00-04:00";null
"js3-node1";"2018-08-03T09:33:00-04:00";0
"js3-node1";"2018-08-03T09:34:00-04:00";null
"js3-node1";"2018-08-03T09:35:00-04:00";null
"js3-node1";"2018-08-03T09:36:00-04:00";0
"js3-node1";"2018-08-03T09:37:00-04:00";null
"js3-node1";"2018-08-03T09:38:00-04:00";null
"js3-node1";"2018-08-03T09:39:00-04:00";0
"js3-node1";"2018-08-03T09:40:00-04:00";null
"js3-node1";"2018-08-03T09:41:00-04:00";null
"js3-node1";"2018-08-03T09:42:00-04:00";0
"js3-node1";"2018-08-03T09:43:00-04:00";null
"js3-node1";"2018-08-03T09:44:00-04:00";null
"js3-node1";"2018-08-03T09:45:00-04:00";0
"js3-node1";"2018-08-03T09:46:00-04:00";null
"js3-node1";"2018-08-03T09:47:00-04:00";null
"js3-node1";"2018-08-03T09:48:00-04:00";0
"js3-node1";"2018-08-03T09:49:00-04:00";null
"js3-node1";"2018-08-03T09:50:00-04:00";null
"js3-node1";"2018-08-03T09:51:00-04:00";0
"js3-node1";"2018-08-03T09:52:00-04:00";null
"js3-node1";"2018-08-03T09:53:00-04:00";null
"js3-node1";"2018-08-03T09:54:00-04:00";0
"js3-node1";"2018-08-03T09:55:00-04:00";null
"js3-node1";"2018-08-03T09:56:00-04:00";null
"js3-node1";"2018-08-03T09:57:00-04:00";0.01
"js3-node1";"2018-08-03T09:58:00-04:00";null
"js3-node1";"2018-08-03T09:59:00-04:00";null
"js3-node1";"2018-08-03T10:00:00-04:00";0
"js3-node1";"2018-08-03T10:01:00-04:00";null
"js3-node1";"2018-08-03T10:02:00-04:00";null
"js3-node1";"2018-08-03T10:03:00-04:00";0
"js3-node1";"2018-08-03T10:04:00-04:00";null
"js3-node1";"2018-08-03T10:05:00-04:00";null
"js3-node1";"2018-08-03T10:06:00-04:00";0
"js3-node1";"2018-08-03T10:07:00-04:00";null
"js3-node1";"2018-08-03T10:08:00-04:00";null
"js3-node1";"2018-08-03T10:09:00-04:00";0
"js3-node1";"2018-08-03T10:10:00-04:00";null
"js3-node1";"2018-08-03T10:11:00-04:00";null
"js3-node1";"2018-08-03T10:12:00-04:00";0
"js3-node1";"2018-08-03T10:13:00-04:00";null
"js3-node1";"2018-08-03T10:14:00-04:00";null
"js3-node1";"2018-08-03T10:15:00-04:00";0.01
"js3-node1";"2018-08-03T10:16:00-04:00";null
"js3-node1";"2018-08-03T10:17:00-04:00";null
"js3-node1";"2018-08-03T10:18:00-04:00";0.01
"js3-node1";"2018-08-03T10:19:00-04:00";null
"js3-node1";"2018-08-03T10:20:00-04:00";null
"js3-node1";"2018-08-03T10:21:00-04:00";0
"js3-node1";"2018-08-03T10:22:00-04:00";null
"js3-node1";"2018-08-03T10:23:00-04:00";null
"js3-node1";"2018-08-03T10:24:00-04:00";0
"js3-node1";"2018-08-03T10:25:00-04:00";null
"js3-node1";"2018-08-03T10:26:00-04:00";null
"js3-node1";"2018-08-03T10:27:00-04:00";0
"js3-node1";"2018-08-03T10:28:00-04:00";null
"js3-node1";"2018-08-03T10:29:00-04:00";null
"js3-node1";"2018-08-03T10:30:00-04:00";0
"js3-node1";"2018-08-03T10:31:00-04:00";null
"js3-node1";"2018-08-03T10:32:00-04:00";null
"js3-node1";"2018-08-03T10:33:00-04:00";0
"js3-node1";"2018-08-03T10:34:00-04:00";null
"js3-node1";"2018-08-03T10:35:00-04:00";null
"js3-node1";"2018-08-03T10:36:00-04:00";0
"js3-node1";"2018-08-03T10:37:00-04:00";null
"js3-node1";"2018-08-03T10:38:00-04:00";null
"js3-node1";"2018-08-03T10:39:00-04:00";0
"js3-node1";"2018-08-03T10:40:00-04:00";null
"js3-node1";"2018-08-03T10:41:00-04:00";null
"js3-node1";"2018-08-03T10:42:00-04:00";0
