"Series";"Time";"Value"
"js3-node1";"2018-08-10T10:33:40-04:00";null
"js3-node1";"2018-08-10T10:34:00-04:00";null
"js3-node1";"2018-08-10T10:34:20-04:00";null
"js3-node1";"2018-08-10T10:34:40-04:00";null
"js3-node1";"2018-08-10T10:35:00-04:00";null
"js3-node1";"2018-08-10T10:35:20-04:00";null
"js3-node1";"2018-08-10T10:35:40-04:00";null
"js3-node1";"2018-08-10T10:36:00-04:00";0
"js3-node1";"2018-08-10T10:36:20-04:00";null
"js3-node1";"2018-08-10T10:36:40-04:00";null
"js3-node1";"2018-08-10T10:37:00-04:00";null
"js3-node1";"2018-08-10T10:37:20-04:00";null
"js3-node1";"2018-08-10T10:37:40-04:00";null
"js3-node1";"2018-08-10T10:38:00-04:00";null
"js3-node1";"2018-08-10T10:38:20-04:00";null
"js3-node1";"2018-08-10T10:38:40-04:00";null
"js3-node1";"2018-08-10T10:39:00-04:00";0
"js3-node1";"2018-08-10T10:39:20-04:00";null
"js3-node1";"2018-08-10T10:39:40-04:00";null
"js3-node1";"2018-08-10T10:40:00-04:00";null
"js3-node1";"2018-08-10T10:40:20-04:00";null
"js3-node1";"2018-08-10T10:40:40-04:00";null
"js3-node1";"2018-08-10T10:41:00-04:00";null
"js3-node1";"2018-08-10T10:41:20-04:00";null
"js3-node1";"2018-08-10T10:41:40-04:00";null
"js3-node1";"2018-08-10T10:42:00-04:00";0
"js3-node1";"2018-08-10T10:42:20-04:00";null
"js3-node1";"2018-08-10T10:42:40-04:00";null
"js3-node1";"2018-08-10T10:43:00-04:00";null
"js3-node1";"2018-08-10T10:43:20-04:00";null
"js3-node1";"2018-08-10T10:43:40-04:00";null
"js3-node1";"2018-08-10T10:44:00-04:00";null
"js3-node1";"2018-08-10T10:44:20-04:00";null
"js3-node1";"2018-08-10T10:44:40-04:00";null
"js3-node1";"2018-08-10T10:45:00-04:00";0
"js3-node1";"2018-08-10T10:45:20-04:00";null
"js3-node1";"2018-08-10T10:45:40-04:00";null
"js3-node1";"2018-08-10T10:46:00-04:00";null
"js3-node1";"2018-08-10T10:46:20-04:00";null
"js3-node1";"2018-08-10T10:46:40-04:00";null
"js3-node1";"2018-08-10T10:47:00-04:00";null
"js3-node1";"2018-08-10T10:47:20-04:00";null
"js3-node1";"2018-08-10T10:47:40-04:00";null
"js3-node1";"2018-08-10T10:48:00-04:00";0.01
"js3-node1";"2018-08-10T10:48:20-04:00";null
"js3-node1";"2018-08-10T10:48:40-04:00";null
"js3-node1";"2018-08-10T10:49:00-04:00";null
"js3-node1";"2018-08-10T10:49:20-04:00";null
"js3-node1";"2018-08-10T10:49:40-04:00";null
"js3-node1";"2018-08-10T10:50:00-04:00";null
"js3-node1";"2018-08-10T10:50:20-04:00";null
"js3-node1";"2018-08-10T10:50:40-04:00";null
"js3-node1";"2018-08-10T10:51:00-04:00";0
"js3-node1";"2018-08-10T10:51:20-04:00";null
"js3-node1";"2018-08-10T10:51:40-04:00";null
"js3-node1";"2018-08-10T10:52:00-04:00";null
"js3-node1";"2018-08-10T10:52:20-04:00";null
"js3-node1";"2018-08-10T10:52:40-04:00";null
"js3-node1";"2018-08-10T10:53:00-04:00";null
"js3-node1";"2018-08-10T10:53:20-04:00";null
"js3-node1";"2018-08-10T10:53:40-04:00";null
"js3-node1";"2018-08-10T10:54:00-04:00";0
"js3-node1";"2018-08-10T10:54:20-04:00";null
"js3-node1";"2018-08-10T10:54:40-04:00";null
"js3-node1";"2018-08-10T10:55:00-04:00";null
"js3-node1";"2018-08-10T10:55:20-04:00";null
"js3-node1";"2018-08-10T10:55:40-04:00";null
"js3-node1";"2018-08-10T10:56:00-04:00";null
"js3-node1";"2018-08-10T10:56:20-04:00";null
"js3-node1";"2018-08-10T10:56:40-04:00";null
"js3-node1";"2018-08-10T10:57:00-04:00";0
"js3-node1";"2018-08-10T10:57:20-04:00";null
"js3-node1";"2018-08-10T10:57:40-04:00";null
"js3-node1";"2018-08-10T10:58:00-04:00";null
"js3-node1";"2018-08-10T10:58:20-04:00";null
"js3-node1";"2018-08-10T10:58:40-04:00";null
"js3-node1";"2018-08-10T10:59:00-04:00";null
"js3-node1";"2018-08-10T10:59:20-04:00";null
"js3-node1";"2018-08-10T10:59:40-04:00";null
"js3-node1";"2018-08-10T11:00:00-04:00";0
"js3-node1";"2018-08-10T11:00:20-04:00";null
"js3-node1";"2018-08-10T11:00:40-04:00";null
"js3-node1";"2018-08-10T11:01:00-04:00";null
"js3-node1";"2018-08-10T11:01:20-04:00";null
"js3-node1";"2018-08-10T11:01:40-04:00";null
"js3-node1";"2018-08-10T11:02:00-04:00";null
"js3-node1";"2018-08-10T11:02:20-04:00";null
"js3-node1";"2018-08-10T11:02:40-04:00";null
"js3-node1";"2018-08-10T11:03:00-04:00";0
"js3-node1";"2018-08-10T11:03:20-04:00";null
"js3-node1";"2018-08-10T11:03:40-04:00";null
"js3-node1";"2018-08-10T11:04:00-04:00";null
"js3-node1";"2018-08-10T11:04:20-04:00";null
"js3-node1";"2018-08-10T11:04:40-04:00";null
"js3-node1";"2018-08-10T11:05:00-04:00";null
"js3-node1";"2018-08-10T11:05:20-04:00";null
"js3-node1";"2018-08-10T11:05:40-04:00";null
"js3-node1";"2018-08-10T11:06:00-04:00";0
"js3-node1";"2018-08-10T11:06:20-04:00";null
"js3-node1";"2018-08-10T11:06:40-04:00";null
"js3-node1";"2018-08-10T11:07:00-04:00";null
"js3-node1";"2018-08-10T11:07:20-04:00";null
"js3-node1";"2018-08-10T11:07:40-04:00";null
"js3-node1";"2018-08-10T11:08:00-04:00";null
"js3-node1";"2018-08-10T11:08:20-04:00";null
"js3-node1";"2018-08-10T11:08:40-04:00";null
"js3-node1";"2018-08-10T11:09:00-04:00";0
"js3-node1";"2018-08-10T11:09:20-04:00";null
"js3-node1";"2018-08-10T11:09:40-04:00";null
"js3-node1";"2018-08-10T11:10:00-04:00";null
"js3-node1";"2018-08-10T11:10:20-04:00";null
"js3-node1";"2018-08-10T11:10:40-04:00";null
"js3-node1";"2018-08-10T11:11:00-04:00";null
"js3-node1";"2018-08-10T11:11:20-04:00";null
"js3-node1";"2018-08-10T11:11:40-04:00";null
"js3-node1";"2018-08-10T11:12:00-04:00";0.01
"js3-node1";"2018-08-10T11:12:20-04:00";null
"js3-node1";"2018-08-10T11:12:40-04:00";null
"js3-node1";"2018-08-10T11:13:00-04:00";null
"js3-node1";"2018-08-10T11:13:20-04:00";null
"js3-node1";"2018-08-10T11:13:40-04:00";null
"js3-node1";"2018-08-10T11:14:00-04:00";null
"js3-node1";"2018-08-10T11:14:20-04:00";null
"js3-node1";"2018-08-10T11:14:40-04:00";null
"js3-node1";"2018-08-10T11:15:00-04:00";0
"js3-node1";"2018-08-10T11:15:20-04:00";null
"js3-node1";"2018-08-10T11:15:40-04:00";null
"js3-node1";"2018-08-10T11:16:00-04:00";null
"js3-node1";"2018-08-10T11:16:20-04:00";null
"js3-node1";"2018-08-10T11:16:40-04:00";null
"js3-node1";"2018-08-10T11:17:00-04:00";null
"js3-node1";"2018-08-10T11:17:20-04:00";null
"js3-node1";"2018-08-10T11:17:40-04:00";null
"js3-node1";"2018-08-10T11:18:00-04:00";0.01
"js3-node1";"2018-08-10T11:18:20-04:00";null
"js3-node1";"2018-08-10T11:18:40-04:00";null
"js3-node1";"2018-08-10T11:19:00-04:00";null
"js3-node1";"2018-08-10T11:19:20-04:00";null
"js3-node1";"2018-08-10T11:19:40-04:00";null
"js3-node1";"2018-08-10T11:20:00-04:00";null
"js3-node1";"2018-08-10T11:20:20-04:00";null
"js3-node1";"2018-08-10T11:20:40-04:00";null
"js3-node1";"2018-08-10T11:21:00-04:00";0
"js3-node1";"2018-08-10T11:21:20-04:00";null
"js3-node1";"2018-08-10T11:21:40-04:00";null
"js3-node1";"2018-08-10T11:22:00-04:00";null
"js3-node1";"2018-08-10T11:22:20-04:00";null
"js3-node1";"2018-08-10T11:22:40-04:00";null
"js3-node1";"2018-08-10T11:23:00-04:00";null
"js3-node1";"2018-08-10T11:23:20-04:00";null
"js3-node1";"2018-08-10T11:23:40-04:00";null
"js3-node1";"2018-08-10T11:24:00-04:00";0
"js3-node1";"2018-08-10T11:24:20-04:00";null
"js3-node1";"2018-08-10T11:24:40-04:00";null
"js3-node1";"2018-08-10T11:25:00-04:00";null
"js3-node1";"2018-08-10T11:25:20-04:00";null
"js3-node1";"2018-08-10T11:25:40-04:00";null
"js3-node1";"2018-08-10T11:26:00-04:00";null
"js3-node1";"2018-08-10T11:26:20-04:00";null
"js3-node1";"2018-08-10T11:26:40-04:00";null
"js3-node1";"2018-08-10T11:27:00-04:00";0
"js3-node1";"2018-08-10T11:27:20-04:00";null
"js3-node1";"2018-08-10T11:27:40-04:00";null
"js3-node1";"2018-08-10T11:28:00-04:00";null
"js3-node1";"2018-08-10T11:28:20-04:00";null
"js3-node1";"2018-08-10T11:28:40-04:00";null
"js3-node1";"2018-08-10T11:29:00-04:00";null
"js3-node1";"2018-08-10T11:29:20-04:00";null
"js3-node1";"2018-08-10T11:29:40-04:00";null
"js3-node1";"2018-08-10T11:30:00-04:00";0
"js3-node1";"2018-08-10T11:30:20-04:00";null
"js3-node1";"2018-08-10T11:30:40-04:00";null
"js3-node1";"2018-08-10T11:31:00-04:00";null
"js3-node1";"2018-08-10T11:31:20-04:00";null
"js3-node1";"2018-08-10T11:31:40-04:00";null
"js3-node1";"2018-08-10T11:32:00-04:00";null
"js3-node1";"2018-08-10T11:32:20-04:00";null
"js3-node1";"2018-08-10T11:32:40-04:00";null
"js3-node1";"2018-08-10T11:33:00-04:00";0
"js3-node1";"2018-08-10T11:33:20-04:00";null
"js3-node1";"2018-08-10T11:33:40-04:00";null
"js3-node1";"2018-08-10T11:34:00-04:00";null
"js3-node1";"2018-08-10T11:34:20-04:00";null
"js3-node1";"2018-08-10T11:34:40-04:00";null
"js3-node1";"2018-08-10T11:35:00-04:00";null
"js3-node1";"2018-08-10T11:35:20-04:00";null
"js3-node1";"2018-08-10T11:35:40-04:00";null
"js3-node1";"2018-08-10T11:36:00-04:00";0
"js3-node1";"2018-08-10T11:36:20-04:00";null
"js3-node1";"2018-08-10T11:36:40-04:00";null
"js3-node1";"2018-08-10T11:37:00-04:00";null
"js3-node1";"2018-08-10T11:37:20-04:00";null
"js3-node1";"2018-08-10T11:37:40-04:00";null
"js3-node1";"2018-08-10T11:38:00-04:00";null
"js3-node1";"2018-08-10T11:38:20-04:00";null
"js3-node1";"2018-08-10T11:38:40-04:00";null
"js3-node1";"2018-08-10T11:39:00-04:00";0
"js3-node1";"2018-08-10T11:39:20-04:00";null
"js3-node1";"2018-08-10T11:39:40-04:00";null
"js3-node1";"2018-08-10T11:40:00-04:00";null
"js3-node1";"2018-08-10T11:40:20-04:00";null
"js3-node1";"2018-08-10T11:40:40-04:00";null
"js3-node1";"2018-08-10T11:41:00-04:00";null
"js3-node1";"2018-08-10T11:41:20-04:00";null
"js3-node1";"2018-08-10T11:41:40-04:00";null
"js3-node1";"2018-08-10T11:42:00-04:00";0
"js3-node1";"2018-08-10T11:42:20-04:00";null
"js3-node1";"2018-08-10T11:42:40-04:00";null
"js3-node1";"2018-08-10T11:43:00-04:00";null
"js3-node1";"2018-08-10T11:43:20-04:00";null
"js3-node1";"2018-08-10T11:43:40-04:00";null
"js3-node1";"2018-08-10T11:44:00-04:00";null
"js3-node1";"2018-08-10T11:44:20-04:00";null
"js3-node1";"2018-08-10T11:44:40-04:00";null
"js3-node1";"2018-08-10T11:45:00-04:00";0
"js3-node1";"2018-08-10T11:45:20-04:00";null
"js3-node1";"2018-08-10T11:45:40-04:00";null
"js3-node1";"2018-08-10T11:46:00-04:00";null
"js3-node1";"2018-08-10T11:46:20-04:00";null
"js3-node1";"2018-08-10T11:46:40-04:00";null
"js3-node1";"2018-08-10T11:47:00-04:00";null
"js3-node1";"2018-08-10T11:47:20-04:00";null
"js3-node1";"2018-08-10T11:47:40-04:00";null
